dataset,feature,class_0_mean,class_1_mean,mean_difference,cohens_d,effect_size
diabetes_binary_full,Education,5.099796641842315,4.74551575850167,-0.3542808833406452,-0.34956033462564307,SMALL
diabetes_binary_5050,Education,5.09638997340576,4.74551575850167,-0.3508742149040902,-0.34602185136359126,SMALL
diabetes_012,PhysActivity,0.7790765688829825,0.6305381089797997,-0.14853845990318282,-0.33005145773201716,SMALL
diabetes_binary_full,PhysActivity,0.7769426658239211,0.6305381089797997,-0.14640455684412146,-0.32483457110582586,SMALL
diabetes_binary_5050,PhysActivity,0.77553329938324,0.6305381089797997,-0.14499519040344033,-0.32139806983678687,SMALL
diabetes_012,Stroke,0.0316280070939575,0.09245742092457421,0.060829413830616706,0.2541859146692975,SMALL
diabetes_binary_5050,Stroke,0.03188479601652238,0.09245742092457421,0.06057262490805183,0.25284678254551735,SMALL
diabetes_binary_full,Stroke,0.032170894134674395,0.09245742092457421,0.06028652678989981,0.25136030049690866,SMALL
diabetes_012,CholCheck,0.9571040181934741,0.9931816895829797,0.03607767138950557,0.2332984402359917,SMALL
diabetes_binary_5050,CholCheck,0.9573360493408024,0.9931816895829797,0.03584564024217729,0.23231152314106504,SMALL
diabetes_binary_full,CholCheck,0.9577299000613738,0.9931816895829797,0.03545178952160588,0.2306358475368863,SMALL
diabetes_binary_5050,HvyAlcoholConsump,0.06190233689809314,0.02353873139817801,-0.038363605499915125,-0.1905627912497397,SMALL
diabetes_012,HvyAlcoholConsump,0.06184283795735203,0.02353873139817801,-0.03830410655917402,-0.19033007414923786,SMALL
diabetes_binary_full,HvyAlcoholConsump,0.06148378172891075,0.02353873139817801,-0.03794505033073274,-0.18891336947767695,SMALL
diabetes_012,MentHlth,2.944404149684375,4.461806144966899,1.517401995282524,0.188233752329669,SMALL
diabetes_binary_full,MentHlth,2.978033654859069,4.461806144966899,1.48377249010783,0.18358778226654174,SMALL
diabetes_012,Smoker,0.42968044435501607,0.5182198834380128,0.08853943908299677,0.17801927320967287,SMALL
diabetes_binary_full,Smoker,0.431018531241126,0.5182198834380128,0.08720135219688685,0.17529587204904995,SMALL
diabetes_binary_5050,MentHlth,3.042267866236632,4.461806144966899,1.419538278730267,0.17471799602218158,SMALL
diabetes_binary_5050,Smoker,0.4323261472302382,0.5182198834380128,0.08589373620777463,0.1726350691841508,SMALL
diabetes_012,Veggies,0.8214391000594282,0.7564080801222204,-0.06503101993720783,-0.1598683308656042,SMALL
diabetes_binary_5050,Veggies,0.8211395914672098,0.7564080801222204,-0.06473151134498945,-0.15908495205395295,SMALL
diabetes_binary_full,Veggies,0.8203257394633909,0.7564080801222204,-0.06391765934117055,-0.15696196100896687,SMALL
diabetes_012,Fruits,0.6430232612551063,0.5854410682962712,-0.057582192958835154,-0.11849942533735287,SMALL
diabetes_binary_full,Fruits,0.6421583445546731,0.5854410682962712,-0.05671727625840195,-0.11668903096329179,SMALL
diabetes_binary_5050,Fruits,0.638148588241951,0.5854410682962712,-0.05270751994567979,-0.10831006273397033,SMALL
diabetes_012,Sex,0.43398548452759206,0.4791206925819046,0.04513520805431254,0.09070554492366749,SMALL
diabetes_012,NoDocbcCost,0.07961048745221172,0.10586770780286313,0.02625722035065141,0.09061343637437476,SMALL
diabetes_binary_full,Sex,0.4340643234677146,0.4791206925819046,0.045056369114189976,0.09054615818375644,SMALL
diabetes_binary_5050,Sex,0.434872404232445,0.4791206925819046,0.0442482883494596,0.0889121932401306,SMALL
diabetes_binary_full,NoDocbcCost,0.08066540254838916,0.10586770780286313,0.025202305254473964,0.08674445249980943,SMALL
diabetes_binary_5050,NoDocbcCost,0.08196118372658859,0.10586770780286313,0.02390652407627454,0.08202087594391264,SMALL
diabetes_binary_full,AnyHealthcare,0.9496413751408392,0.9597691393651333,0.010127764224294067,0.048717000052022785,SMALL
diabetes_012,AnyHealthcare,0.9497386559851757,0.9597691393651333,0.0100304833799576,0.04827349226494195,SMALL
diabetes_binary_5050,AnyHealthcare,0.9501499462456855,0.9597691393651333,0.00961919311944781,0.046393318042826474,SMALL
