dataset,target_class,feature,count,mean,std,median,min,max
diabetes_012,2.0,Income,35346,5.210094494426526,2.217319130078339,6.0,1.0,8.0
diabetes_binary_5050,0.0,HighBP,35346,0.37424319583545523,0.48393372676674545,0.0,0.0,1.0
diabetes_binary_5050,0.0,HighChol,35346,0.38128784020822726,0.48570989030380757,0.0,0.0,1.0
diabetes_binary_5050,0.0,CholCheck,35346,0.9573360493408024,0.20210119630184842,1.0,0.0,1.0
diabetes_binary_5050,0.0,BMI,35346,27.769959825722854,6.187636478728953,27.0,12.0,98.0
diabetes_binary_5050,0.0,Smoker,35346,0.4323261472302382,0.4954060891982787,0.0,0.0,1.0
diabetes_binary_5050,0.0,Stroke,35346,0.03188479601652238,0.175695842688982,0.0,0.0,1.0
diabetes_binary_5050,0.0,HeartDiseaseorAttack,35346,0.07273807502970633,0.25970975284913267,0.0,0.0,1.0
diabetes_binary_5050,0.0,PhysActivity,35346,0.77553329938324,0.4172365349976443,1.0,0.0,1.0
diabetes_binary_5050,0.0,Fruits,35346,0.638148588241951,0.4805429228891496,1.0,0.0,1.0
diabetes_binary_5050,0.0,Veggies,35346,0.8211395914672098,0.38324080954449113,1.0,0.0,1.0
diabetes_binary_5050,0.0,HvyAlcoholConsump,35346,0.06190233689809314,0.2409814941963629,0.0,0.0,1.0
diabetes_binary_5050,0.0,AnyHealthcare,35346,0.9501499462456855,0.2176381537601552,1.0,0.0,1.0
diabetes_binary_5050,0.0,NoDocbcCost,35346,0.08196118372658859,0.27430945466787837,0.0,0.0,1.0
diabetes_binary_5050,0.0,GenHlth,35346,2.383183387087648,1.023754696983115,2.0,1.0,5.0
diabetes_binary_5050,0.0,MentHlth,35346,3.042267866236632,7.2084082946999635,0.0,0.0,30.0
diabetes_binary_5050,0.0,PhysHlth,35346,3.666355457477508,8.098338742738266,0.0,0.0,30.0
diabetes_binary_5050,0.0,DiffWalk,35346,0.13424432750523396,0.34091945716892147,0.0,0.0,1.0
diabetes_binary_5050,0.0,Sex,35346,0.434872404232445,0.49574726363339877,0.0,0.0,1.0
diabetes_binary_5050,0.0,Age,35346,7.789056753239405,3.094435782095118,8.0,1.0,13.0
diabetes_binary_5050,0.0,Education,35346,5.09638997340576,0.9651825170862304,5.0,1.0,6.0
diabetes_binary_5050,0.0,Income,35346,6.186527471283879,2.017389561221769,7.0,1.0,8.0
diabetes_binary_5050,1.0,HighBP,35346,0.7526735698523171,0.43146417455795294,1.0,0.0,1.0
diabetes_binary_5050,1.0,HighChol,35346,0.6701182594918803,0.47017659674971607,1.0,0.0,1.0
diabetes_binary_5050,1.0,CholCheck,35346,0.9931816895829797,0.08229223931895985,1.0,0.0,1.0
diabetes_binary_5050,1.0,BMI,35346,31.94401063769592,7.363400633798088,31.0,13.0,98.0
diabetes_binary_5050,1.0,Smoker,35346,0.5182198834380128,0.4996749939626988,1.0,0.0,1.0
diabetes_binary_5050,1.0,Stroke,35346,0.09245742092457421,0.28967468001364877,0.0,0.0,1.0
diabetes_binary_5050,1.0,HeartDiseaseorAttack,35346,0.22288236292649805,0.4161859147738009,0.0,0.0,1.0
diabetes_binary_5050,1.0,PhysActivity,35346,0.6305381089797997,0.4826659229007599,1.0,0.0,1.0
diabetes_binary_5050,1.0,Fruits,35346,0.5854410682962712,0.4926527077405126,1.0,0.0,1.0
diabetes_binary_5050,1.0,Veggies,35346,0.7564080801222204,0.42925529640060417,1.0,0.0,1.0
diabetes_binary_5050,1.0,HvyAlcoholConsump,35346,0.02353873139817801,0.15160906904553673,0.0,0.0,1.0
diabetes_binary_5050,1.0,AnyHealthcare,35346,0.9597691393651333,0.19650300488482508,1.0,0.0,1.0
diabetes_binary_5050,1.0,NoDocbcCost,35346,0.10586770780286313,0.3076725766334564,0.0,0.0,1.0
diabetes_binary_5050,1.0,GenHlth,35346,3.290980591863294,1.009927586874904,3.0,1.0,5.0
diabetes_binary_5050,1.0,MentHlth,35346,4.461806144966899,8.947717458078175,0.0,0.0,30.0
diabetes_binary_5050,1.0,PhysHlth,35346,7.954478583149437,11.301490525772461,1.0,0.0,30.0
diabetes_binary_5050,1.0,DiffWalk,35346,0.37121597917727606,0.4831369162835067,0.0,0.0,1.0
diabetes_binary_5050,1.0,Sex,35346,0.4791206925819046,0.4995709312239477,0.0,0.0,1.0
diabetes_binary_5050,1.0,Age,35346,9.379052792395179,2.330273074979583,10.0,1.0,13.0
diabetes_binary_5050,1.0,Education,35346,4.74551575850167,1.0606173483622547,5.0,1.0,6.0
diabetes_binary_5050,1.0,Income,35346,5.210094494426526,2.217319130078339,6.0,1.0,8.0
diabetes_binary_full,0.0,HighBP,218334,0.37660190350563816,0.48453481307227025,0.0,0.0,1.0
diabetes_binary_full,0.0,HighChol,218334,0.3842965364991252,0.4864296375200481,0.0,0.0,1.0
diabetes_binary_full,0.0,CholCheck,218334,0.9577299000613738,0.20120517888453865,1.0,0.0,1.0
diabetes_binary_full,0.0,BMI,218334,27.80577005871738,6.291413809060435,27.0,12.0,98.0
diabetes_binary_full,0.0,Smoker,218334,0.431018531241126,0.4952198301899427,0.0,0.0,1.0
diabetes_binary_full,0.0,Stroke,218334,0.032170894134674395,0.17645415923907876,0.0,0.0,1.0
diabetes_binary_full,0.0,HeartDiseaseorAttack,218334,0.07335092106588988,0.260712245129968,0.0,0.0,1.0
diabetes_binary_full,0.0,PhysActivity,218334,0.7769426658239211,0.41629743405484776,1.0,0.0,1.0
diabetes_binary_full,0.0,Fruits,218334,0.6421583445546731,0.47936630832064897,1.0,0.0,1.0
diabetes_binary_full,0.0,Veggies,218334,0.8203257394633909,0.38391678227640874,1.0,0.0,1.0
diabetes_binary_full,0.0,HvyAlcoholConsump,218334,0.06148378172891075,0.2402161331063885,0.0,0.0,1.0
diabetes_binary_full,0.0,AnyHealthcare,218334,0.9496413751408392,0.21868436797529273,1.0,0.0,1.0
diabetes_binary_full,0.0,NoDocbcCost,218334,0.08066540254838916,0.2723211982895287,0.0,0.0,1.0
diabetes_binary_full,0.0,GenHlth,218334,2.3851850834043256,1.023245104350331,2.0,1.0,5.0
diabetes_binary_full,0.0,MentHlth,218334,2.978033654859069,7.1118649948599435,0.0,0.0,30.0
diabetes_binary_full,0.0,PhysHlth,218334,3.6410820119633223,8.06459989307032,0.0,0.0,30.0
diabetes_binary_full,0.0,DiffWalk,218334,0.13536141874375957,0.34210998394579517,0.0,0.0,1.0
diabetes_binary_full,0.0,Sex,218334,0.4340643234677146,0.4956345545740735,0.0,0.0,1.0
diabetes_binary_full,0.0,Age,218334,7.814064689878809,3.1013055434957724,8.0,1.0,13.0
diabetes_binary_full,0.0,Education,218334,5.099796641842315,0.9640915689185954,5.0,1.0,6.0
diabetes_binary_full,0.0,Income,218334,6.19047422755961,2.0135227188163487,7.0,1.0,8.0
diabetes_binary_full,1.0,HighBP,35346,0.7526735698523171,0.43146417455795294,1.0,0.0,1.0
diabetes_binary_full,1.0,HighChol,35346,0.6701182594918803,0.47017659674971607,1.0,0.0,1.0
diabetes_binary_full,1.0,CholCheck,35346,0.9931816895829797,0.08229223931895985,1.0,0.0,1.0
diabetes_binary_full,1.0,BMI,35346,31.94401063769592,7.363400633798088,31.0,13.0,98.0
diabetes_binary_full,1.0,Smoker,35346,0.5182198834380128,0.4996749939626988,1.0,0.0,1.0
diabetes_binary_full,1.0,Stroke,35346,0.09245742092457421,0.28967468001364877,0.0,0.0,1.0
diabetes_binary_full,1.0,HeartDiseaseorAttack,35346,0.22288236292649805,0.4161859147738009,0.0,0.0,1.0
diabetes_binary_full,1.0,PhysActivity,35346,0.6305381089797997,0.4826659229007599,1.0,0.0,1.0
diabetes_binary_full,1.0,Fruits,35346,0.5854410682962712,0.4926527077405126,1.0,0.0,1.0
diabetes_binary_full,1.0,Veggies,35346,0.7564080801222204,0.42925529640060417,1.0,0.0,1.0
diabetes_binary_full,1.0,HvyAlcoholConsump,35346,0.02353873139817801,0.15160906904553673,0.0,0.0,1.0
diabetes_binary_full,1.0,AnyHealthcare,35346,0.9597691393651333,0.19650300488482508,1.0,0.0,1.0
diabetes_binary_full,1.0,NoDocbcCost,35346,0.10586770780286313,0.3076725766334564,0.0,0.0,1.0
diabetes_binary_full,1.0,GenHlth,35346,3.290980591863294,1.009927586874904,3.0,1.0,5.0
diabetes_binary_full,1.0,MentHlth,35346,4.461806144966899,8.947717458078175,0.0,0.0,30.0
diabetes_binary_full,1.0,PhysHlth,35346,7.954478583149437,11.301490525772461,1.0,0.0,30.0
diabetes_binary_full,1.0,DiffWalk,35346,0.37121597917727606,0.4831369162835067,0.0,0.0,1.0
diabetes_binary_full,1.0,Sex,35346,0.4791206925819046,0.4995709312239477,0.0,0.0,1.0
diabetes_binary_full,1.0,Age,35346,9.379052792395179,2.330273074979583,10.0,1.0,13.0
diabetes_binary_full,1.0,Education,35346,4.74551575850167,1.0606173483622547,5.0,1.0,6.0
diabetes_binary_full,1.0,Income,35346,5.210094494426526,2.217319130078339,6.0,1.0,8.0
