dataset,feature,overall_variance,mean_class_variance,max_class_variance,variance_stability_ratio
diabetes_binary_full,HeartDiseaseorAttack,0.08531499943830688,0.120590795208407,0.1732107156561055,1.4134770673661998
diabetes_binary_full,PhysActivity,0.18418606781033517,0.2031349733651463,0.2329663931296423,1.1028791470499477
diabetes_binary_full,Fruits,0.2319763066181958,0.2362493739985132,0.24270669044405893,1.0184202750815856
diabetes_binary_full,Veggies,0.15301824964758381,0.165826102600721,0.18426010948797053,1.0837014734035642
diabetes_binary_full,HvyAlcoholConsump,0.05303891396834272,0.04034455021072024,0.05770379060458616,0.7606594327101164
diabetes_binary_full,AnyHealthcare,0.04655181934888376,0.04321814186275941,0.04782285279675323,0.928387815283007
diabetes_binary_full,NoDocbcCost,0.07709146653849518,0.08441062472505745,0.09466241441227008,1.0949412239149388
diabetes_binary_full,GenHlth,1.141643873705667,1.0334921371539432,1.0470305435769196,0.9052666606087295
diabetes_binary_full,MentHlth,54.95029614130652,65.32013570735559,80.06164770959697,1.1887130788045743
diabetes_binary_full,PhysHlth,76.0026749942765,96.38072976971726,127.72368810412472,1.2681228624778715
diabetes_binary_full,DiffWalk,0.13992506916280562,0.17523026049566418,0.23342127987593614,1.2523149821836448
diabetes_binary_full,Sex,0.24644191399453938,0.24761236350590127,0.24957111532396226,1.0047493930411036
diabetes_binary_full,Age,9.328262460492324,7.524134339046206,9.61809607411761,0.8065954802314921
diabetes_binary_full,Education,0.9717507255315295,1.0271908564534495,1.1249091596469805,1.0570518029627354
diabetes_binary_full,Income,4.289652241272433,4.485388931900472,4.916504124611363,1.0456299670972808
