dataset,column,mean,std,min,q25,median,q75,max,outlier_count_iqr,outlier_ratio_iqr
diabetes_012,Income,6.053874960580258,2.0711475662715184,1.0,5.0,7.0,8.0,8.0,0,0.0
diabetes_binary_5050,Diabetes_binary,0.5,0.5000035365055789,0.0,0.0,0.5,1.0,1.0,0,0.0
diabetes_binary_5050,HighBP,0.5634583828438862,0.49596019315986145,0.0,0.0,1.0,1.0,1.0,0,0.0
diabetes_binary_5050,HighChol,0.5257030498500538,0.4993424480263363,0.0,0.0,1.0,1.0,1.0,0,0.0
diabetes_binary_5050,CholCheck,0.975258869461891,0.15533624280406613,0.0,1.0,1.0,1.0,1.0,1749,0.02474113053810898
diabetes_binary_5050,BMI,29.856985231709388,7.1139538515768415,12.0,25.0,29.0,33.0,98.0,2181,0.030852147343405193
diabetes_binary_5050,Smoker,0.4752730153341255,0.49939173411078236,0.0,0.0,0.0,1.0,1.0,0,0.0
diabetes_binary_5050,Stroke,0.0621711084705483,0.2414677753677079,0.0,0.0,0.0,0.0,1.0,4395,0.0621711084705483
diabetes_binary_5050,HeartDiseaseorAttack,0.1478102189781022,0.35491427136194237,0.0,0.0,0.0,0.0,1.0,10449,0.1478102189781022
diabetes_binary_5050,PhysActivity,0.7030357041815198,0.4569239063509666,0.0,0.0,1.0,1.0,1.0,0,0.0
diabetes_binary_5050,Fruits,0.611794828269111,0.4873451303661201,0.0,0.0,1.0,1.0,1.0,0,0.0
diabetes_binary_5050,Veggies,0.788773835794715,0.4081813673269233,0.0,1.0,1.0,1.0,1.0,14932,0.2112261642052849
diabetes_binary_5050,HvyAlcoholConsump,0.04272053414813557,0.20222776421845534,0.0,0.0,0.0,0.0,1.0,3020,0.04272053414813557
diabetes_binary_5050,AnyHealthcare,0.9549595428054094,0.20739436554190932,0.0,1.0,1.0,1.0,1.0,3184,0.04504045719459062
diabetes_binary_5050,NoDocbcCost,0.09391444576472585,0.29171171795919254,0.0,0.0,0.0,0.0,1.0,6639,0.09391444576472585
diabetes_binary_5050,GenHlth,2.837081989475471,1.1135645170395372,1.0,2.0,3.0,4.0,5.0,0,0.0
diabetes_binary_5050,MentHlth,3.7520370056017653,8.155626553608068,0.0,0.0,0.0,2.0,30.0,11816,0.16714762632263905
diabetes_binary_5050,PhysHlth,5.810417020313473,10.06226053116389,0.0,0.0,0.0,6.0,30.0,10624,0.15028574661913655
diabetes_binary_5050,DiffWalk,0.25273015334125504,0.43458059612338573,0.0,0.0,0.0,1.0,1.0,0,0.0
diabetes_binary_5050,Sex,0.4569965484071748,0.49815079394587164,0.0,0.0,0.0,1.0,1.0,0,0.0
diabetes_binary_5050,Age,8.584054772817291,2.852153109951346,1.0,7.0,9.0,11.0,13.0,0,0.0
diabetes_binary_5050,Education,4.920952865953715,1.02908080048477,1.0,4.0,5.0,6.0,6.0,0,0.0
diabetes_binary_5050,Income,5.698310982855203,2.17519597591836,1.0,4.0,6.0,8.0,8.0,0,0.0
diabetes_binary_full,Diabetes_binary,0.13933301797540207,0.34629438458921347,0.0,0.0,0.0,0.0,1.0,35346,0.13933301797540207
diabetes_binary_full,HighBP,0.4290011037527594,0.49493446268990143,0.0,0.0,0.0,1.0,1.0,0,0.0
diabetes_binary_full,HighChol,0.4241209397666351,0.49420980465688485,0.0,0.0,0.0,1.0,1.0,0,0.0
diabetes_binary_full,CholCheck,0.9626695048880479,0.1895707543627255,0.0,1.0,1.0,1.0,1.0,9470,0.037330495111952064
diabetes_binary_full,BMI,28.382363607694735,6.608694201406008,12.0,24.0,27.0,31.0,98.0,9847,0.03881661936297698
diabetes_binary_full,Smoker,0.44316855881425415,0.4967606667785632,0.0,0.0,0.0,1.0,1.0,0,0.0
diabetes_binary_full,Stroke,0.04057079785556607,0.19729409940016232,0.0,0.0,0.0,0.0,1.0,10292,0.04057079785556607
diabetes_binary_full,HeartDiseaseorAttack,0.09418558814254178,0.29208731475075544,0.0,0.0,0.0,0.0,1.0,23893,0.09418558814254178
diabetes_binary_full,PhysActivity,0.7565436770734784,0.42916904339704554,0.0,1.0,1.0,1.0,1.0,61760,0.2434563229265216
diabetes_binary_full,Fruits,0.6342557552822453,0.4816391871704334,0.0,0.0,1.0,1.0,1.0,0,0.0
diabetes_binary_full,Veggies,0.811419899085462,0.39117547168449074,0.0,1.0,1.0,1.0,1.0,47839,0.188580100914538
diabetes_binary_full,HvyAlcoholConsump,0.05619678334910123,0.2303017888952292,0.0,0.0,0.0,0.0,1.0,14256,0.05619678334910123
diabetes_binary_full,AnyHealthcare,0.9510525070955534,0.2157587063107391,0.0,1.0,1.0,1.0,1.0,12417,0.04894749290444655
diabetes_binary_full,NoDocbcCost,0.08417691579943236,0.277653500857625,0.0,0.0,0.0,0.0,1.0,21354,0.08417691579943236
diabetes_binary_full,GenHlth,2.5113923052664773,1.0684773622803934,1.0,2.0,2.0,3.0,5.0,12081,0.04762298959318827
diabetes_binary_full,MentHlth,3.1847721538946705,7.412846696196173,0.0,0.0,0.0,2.0,30.0,36208,0.14273099968464206
diabetes_binary_full,PhysHlth,4.2420805739514345,8.717951307175127,0.0,0.0,0.0,3.0,30.0,40949,0.161419899085462
diabetes_binary_full,DiffWalk,0.16822374645222327,0.374065594732803,0.0,0.0,0.0,0.0,1.0,42675,0.16822374645222327
diabetes_binary_full,Sex,0.4403421633554084,0.49642916311850516,0.0,0.0,0.0,1.0,1.0,0,0.0
diabetes_binary_full,Age,8.032119205298013,3.054220434168484,1.0,6.0,8.0,10.0,13.0,0,0.0
diabetes_binary_full,Education,5.050433617155472,0.9857741757276509,1.0,4.0,5.0,6.0,6.0,0,0.0
diabetes_binary_full,Income,6.053874960580258,2.0711475662715184,1.0,5.0,7.0,8.0,8.0,0,0.0
